Parameters,nitd609,artenimol
EC50,0.00210910086794828,0.00163611239301987
H,4.16051942329393,9.46380144969559
Ucinf,0.303746528714749,0
chi2,89.9398959120256,83.9791599651129
good_of_fit,0,0
