Parameters,quisinostathydrochloride,artesunate
EC50,0.00408483726902416,0.00192348758802567
H,6.96869501815962,3.75720441045411
Ucinf,0.801534853011077,2.03775961871031
chi2,259.613249349782,139.490815345553
good_of_fit,0,0
