Parameters,bix01294,methyleneblue
EC50,0.0203146502021028,0.0816146179247505
H,4.28732101489124,7.55374126398282
Ucinf,0.967770574905152,1.24242317142938
chi2,86.2208462799264,38.1023577556089
good_of_fit,0,0
