Parameters,methyleneblue,lumefantrine
EC50,0.00837037988337997,0.00198470710166131
H,2.13923490341736,2.9350569529319
Ucinf,0,61.0543012358482
chi2,3194.14390961236,20541.1669366053
good_of_fit,0,0
