Parameters,nicardipine,artenimol
EC50,0.00154191598787453,5.98567118956487
H,6.27118439943722,3.15041523533737
Ucinf,10.932737829882,0
chi2,2313.24688329713,1063.87573997672
good_of_fit,0,0
