Parameters,nicardipine,artesunate
EC50,0.0159388527681495,6.21652335438637
H,5.05614563198304,1.87141385236951
Ucinf,2.04509379735159,12.9827329564811
chi2,19.2729464736376,251.430815306493
good_of_fit,0,0
