Parameters,zonisamide,artemether
EC50,0.0111021989562135,4.99999999999996
H,3.38326693501098,9.99999999999962
Ucinf,0,77.0293217532098
chi2,1334.66193565451,1313.63964970507
good_of_fit,0,0
