Parameters,tafenoquine,artenimol
EC50,0.0160001465626646,0.0994847879195178
H,2.7623209749214,2.51849747617328
Ucinf,18.295014422436,0
chi2,13303.6651559821,19316.4067089217
good_of_fit,0,0
