Parameters,gsk2126458,mefloquine
EC50,0.0654078144303178,0.0442270202898292
H,9.99999999999941,9.99999999999994
Ucinf,79.8261401930185,0
chi2,52089.4218990255,5174.56534481903
good_of_fit,0,0
