Parameters,amodiaquine,artesunate
EC50,0.00830214022931213,0.106337160021643
H,5.13622286548965,6.64772259374538
Ucinf,7.51619730830661,0
chi2,1507.12841249114,1496.49898528581
good_of_fit,0,0
