Parameters,genz669178,ml238
EC50,0.00696872993119799,0.0296749153056507
H,9.99999999999977,10
Ucinf,51.5524990975772,16.9747724123096
chi2,58397.0455956525,10510.521771667
good_of_fit,0,0
