Parameters,decoquinate,nitd609
EC50,0.00183760444593601,0.0033945355737205
H,5.3162080964723,10
Ucinf,23.9929214877602,26.7162444145936
chi2,7942.4461113925,1561.85278669089
good_of_fit,0,0
