Parameters,manidipinedihydrochloride,mefloquine
EC50,0.0547782277544332,9.1162286094967
H,9.99999999999999,10
Ucinf,55.1199951073376,0
chi2,57147.0425024433,15068.0502772179
good_of_fit,0,0
