Parameters,propafenonehydrochloride,artemether
EC50,0.0129175753486547,2.55755978226656
H,9.99999999999999,9.9999999999997
Ucinf,13.7590951401881,65.3928182365889
chi2,30658.5448711732,101206.42614703
good_of_fit,0,0
