Parameters,alvespimycinhydrochloride,artesunate
EC50,0.00813347947250265,0.268579421001418
H,3.35072762583681,3.9152592151467
Ucinf,8.28936382269894,0
chi2,557.268449949397,466.648974971283
good_of_fit,0,0
