Parameters,tafenoquine,methyleneblue
EC50,0.00822864361794042,0.307689270268927
H,9.99999999999998,3.6482352431342
Ucinf,42.6309416594866,23.774723978183
chi2,22465.1886649893,1157.99779233336
good_of_fit,0,0
