Parameters,nvpbgt226,artemether
EC50,0.0132087281694987,0.00149387558253983
H,9.99999999999673,9.99999999999868
Ucinf,19.9618397446873,26.6873406669764
chi2,24391.8160370626,13058.5441472449
good_of_fit,0,0
