Parameters,lomerizinedihydrochloride,artemether
EC50,0.00525919594559074,2.53155051986791
H,2.76827800191819,9.99999999999998
Ucinf,0,22.5861075532209
chi2,311.82375770693,255.363915223809
good_of_fit,0,0
