Parameters,decoquinate,lumefantrine
EC50,0.0131330781339199,0.0036084236146666
H,9.99999999999988,9.99999999999998
Ucinf,21.381901922605,18.8809401922508
chi2,6329.90110163077,417.614881358441
good_of_fit,0,0
