Parameters,nvpauy922,artesunate
EC50,0.00527883223028476,0.0584730956016398
H,3.5729725282128,1.51897143015812
Ucinf,18.3857248756728,0
chi2,1682.81849992462,1053.17952600038
good_of_fit,0,0
