Parameters,azelnidipine,artesunate
EC50,0.00313890982982477,1.32809407477533
H,9.9999999999998,1.20447542765883
Ucinf,1.85183945236865,0
chi2,194.762793517503,1181.99560900543
good_of_fit,0,0
