Parameters,quisinostathydrochloride,artesunate
EC50,0.014822791235526,0.00610449866215747
H,7.30756641877443,3.62531482967345
Ucinf,2.18088950933789,0.739079434978857
chi2,435.739908594743,281.725664389585
good_of_fit,0,0
