Parameters,monensinsodiumsalt,artemether
EC50,0.00944342730936583,0.000971900639612146
H,10,6.73218365812714
Ucinf,6.28008665825114,1.76970461213516
chi2,708.518405544714,258.912645031225
good_of_fit,0,0
