Parameters,monensinsodiumsalt,proguanil
EC50,0.0410479650007199,0.00127685719185419
H,3.48270787233718,10
Ucinf,17.5277947034019,9.59391379194561
chi2,3430.28144168033,1780.3530451967
good_of_fit,0,0
