Parameters,propafenonehydrochloride,mefloquine
EC50,0.0443417268519152,2.74461257231229
H,2.93808372776183,2.27939720236036
Ucinf,0,0
chi2,20.486280470762,330.865473751725
good_of_fit,0,0
