Parameters,lumefantrine,artenimol
EC50,0.00258415913321559,0.0123089776060178
H,6.29069230886452,10
Ucinf,9.62339496012348,4.10664907861213
chi2,5755.92425237567,2438.62539817116
good_of_fit,0,0
