Parameters,ivermectin,decoquinate
EC50,0.00162566304333371,1.10957080887779
H,1.16733241433807,2.82540766617062
Ucinf,1.12412470336802,0.990545116345248
chi2,1025.38184574472,105.842881045283
good_of_fit,0,0
