Parameters,nanchangmycin,artenimol
EC50,0.00510638981255644,0.000397144495079421
H,7.95837629233953,4.79747316074588
Ucinf,13.9668487612667,19.1788197522333
chi2,1516.81398694745,357.179430623148
good_of_fit,0,0
