Parameters,cinacalcethydrochloride,ml238
EC50,0.0222420756326534,9.23920984718448
H,1.44575664547704,3.07490513674972
Ucinf,0,0
chi2,58.5598890152479,158.39555400711
good_of_fit,0,0
