Parameters,manidipinedihydrochloride,methyleneblue
EC50,0.0342786733190499,5.62621976212016
H,4.56225127103874,1.90743008432696
Ucinf,0.638165668987722,0
chi2,21.7990861675465,128.933229882414
good_of_fit,0,0
