Parameters,carfilzomib,ink128
EC50,0.0753421657288432,0.0117240398928121
H,9.99999999999992,10
Ucinf,3.98716316948098,1.29323956307579
chi2,501.991805270272,402.636624922659
good_of_fit,0,0
