Parameters,perhexiline,methyleneblue
EC50,0.00997359103922871,5.03878212070348
H,9.99999999999997,1.62444600769618
Ucinf,11.4480957841828,0
chi2,2474.66574658454,1289.84430494231
good_of_fit,0,0
