Parameters,cinacalcethydrochloride,piperaquine
EC50,0.0138470275654265,4.99999999999914
H,9.3976074033911,9.99999999994735
Ucinf,0.246217355186262,29.7842436051745
chi2,58.6259681312575,4474.81895207743
good_of_fit,0,0
