Parameters,nvpbgt226,nitd609
EC50,0.00189206409548306,0.000980640339008582
H,10,3.39110503437261
Ucinf,2.31629406584959,17.5742825332571
chi2,17614.0775314125,2395.25259648835
good_of_fit,0,0
