Parameters,reserpine,mefloquine
EC50,0.0260174362675637,0.245215568345261
H,3.06578522862206,1.5081629657462
Ucinf,9.47637755318984,7.0987750663164
chi2,2135.65569026295,376.48225335922
good_of_fit,0,0
