Parameters,gramicidin,artesunate
EC50,0.00623484261461549,0.000254684400520535
H,3.2258017991413,10
Ucinf,5.64538059519533,1.32510948139226
chi2,219.779116867919,121.152800122542
good_of_fit,0,0
