Parameters,lumefantrine,artenimol
EC50,0.00381277492437412,0.0272690430389691
H,2.25351825306783,9.99999924019247
Ucinf,14.6548913442459,23.7503529997365
chi2,32460.692835235,15326455044.8622
good_of_fit,0,0
