Parameters,lumefantrine,artesunate
EC50,0.00378466433689822,0.0119648338482243
H,2.65220945134667,3.01736813279735
Ucinf,3.64578637168667,4.00552661693859
chi2,429.799002065248,3578.81225830293
good_of_fit,0,0
