Parameters,nvpauy922,artemether
EC50,0.0198397586440847,0.263237753160414
H,9.99999999999989,3.05418948000854
Ucinf,73.9602537995772,0
chi2,21306.6994573504,92557.4733108648
good_of_fit,0,0
