Parameters,halofantrine,artenimol
EC50,0.000521863865898903,0.000550202568283019
H,2.9109135656818,3.57852056194917
Ucinf,1.536250865794,0.732556723562083
chi2,433.434705811819,4.13922625306716
good_of_fit,0,0
