Parameters,manidipinedihydrochloride,artesunate
EC50,0.0120441486652407,9.99999999999999
H,9.99999999999997,9.99999999999989
Ucinf,17.2792119094338,29.6483935910541
chi2,19578.0354969593,14002.5151506738
good_of_fit,0,0
