Parameters,halofantrine,artesunate
EC50,0.00344769352261412,0.000747470328675813
H,6.80646900588882,1.9448484407659
Ucinf,2.09816526962358,0
chi2,533.562929501395,201.876501307781
good_of_fit,0,0
