Parameters,monensinsodiumsalt,nvpbgt226
EC50,0.00194457268575004,0.00154862412166696
H,10,6.36805756302782
Ucinf,13.4179830852276,2.57682178537756
chi2,11250.5585558964,586.86729152553
good_of_fit,0,0
