Parameters,azelnidipine,halofantrine
EC50,0.00129538248210401,2.02637756960315
H,6.57025809015479,5.18450163945046
Ucinf,1.19195999744521,16.3242854152545
chi2,237.709696979347,413.192728367423
good_of_fit,0,0
