Parameters,nitd609,atovaquone
EC50,0.00125538610332575,0.00100776474924126
H,4.61504417642562,9.9999999999999
Ucinf,17.0488212388719,26.5908497415875
chi2,22287.0959178681,12230.6140338954
good_of_fit,0,0
