Parameters,reserpine,methyleneblue
EC50,0.016184968027077,1.77139215417236
H,3.73769664228186,8.61456535403126
Ucinf,1.8333070769001,0
chi2,1512.54259999927,631.234211038378
good_of_fit,0,0
