Parameters,alvespimycinhydrochloride,artemether
EC50,0.0189677499854339,0.263420133119119
H,4.2536560579891,2.91942367693716
Ucinf,27.8436503418189,0
chi2,1348.60225989582,849.791167635777
good_of_fit,0,0
