Parameters,atovaquone,lumefantrine
EC50,0.00891712550787021,0.00450601118142031
H,2.6656057963833,1.53768175251851
Ucinf,0,1.08075427665453
chi2,61.0121491561199,21.8617830263354
good_of_fit,0,0
