Parameters,mefloquine,artemether
EC50,0.00565650945343617,0.046283466588694
H,9.99999999999999,9.99999999999985
Ucinf,40.9991269857281,81.0778328634257
chi2,57401.4062216409,12042.5626778285
good_of_fit,0,0
