Parameters,torin2,lumefantrine
EC50,0.00120247131869463,0.00119952291234819
H,10,9.99999999999922
Ucinf,31.1966780818007,7.75372350404194
chi2,12713.0484789948,5133.70385308782
good_of_fit,0,0
