Parameters,nanchangmycin,lumefantrine
EC50,0.0221472992992348,0.00703535184123875
H,9.9999999999905,7.86187317641686
Ucinf,49.40005760908,0
chi2,37313.6084249901,12467.4870928706
good_of_fit,0,0
