Parameters,miconazole,halofantrine
EC50,0.00212390392471492,2.81446091830399
H,8.24487350035874,9.9999999999998
Ucinf,0.970722092387521,24.5369986905966
chi2,76.9189853776134,390.905843289278
good_of_fit,0,0
