Parameters,lidoflazine,lumefantrine
EC50,0.0150280989362106,5.21211240905021
H,4.05120446539982,3.3542665745866
Ucinf,2.03531787168105,55.5833453641033
chi2,185.000110205422,206.509149166147
good_of_fit,0,0
