Parameters,methyleneblue,artemether
EC50,0.0116399818030932,0.0167944734771272
H,5.88234594519169,9.9999999999999
Ucinf,11.3555336626697,19.3300676046724
chi2,2059.29202155437,2994.22308341753
good_of_fit,0,0
