Parameters,mefloquine,atovaquone
EC50,0.00880130171947982,0.0421978392885307
H,10,9.99999999999998
Ucinf,82.1676755458035,25.4030781946996
chi2,19807.1360774244,16410.2911362247
good_of_fit,0,0
