Parameters,pyronaridine,artenimol
EC50,0.00143656324969659,0.0318796576670304
H,4.8533150848472,10
Ucinf,0.830705353939115,0.533770526864374
chi2,26.1178600699506,468.41535472737
good_of_fit,0,0
