Parameters,pkc412,tafenoquine
EC50,0.170110902495658,0.416834684693596
H,2.70213107632253,2.48179634514636
Ucinf,9.98442146597123,11.7851287647478
chi2,146.318288097126,109.560346895249
good_of_fit,0,0
