Parameters,tafenoquine,artesunate
EC50,0.0110498100708046,0.256908004585641
H,10,2.55144708680006
Ucinf,11.4000149145161,22.7672180379883
chi2,12997.7768952057,4811.2156244365
good_of_fit,0,0
