Parameters,amodiaquine,methyleneblue
EC50,0.00978589151780206,0.103529558487151
H,3.5478438080977,3.97220532931281
Ucinf,28.9282613968342,24.6756700027673
chi2,21673.0697185062,16607.6262147206
good_of_fit,0,0
