Parameters,torin2,nvpbgt226
EC50,0.00200042073553788,0.0010842302156832
H,3.2210875500971,10
Ucinf,9.76797769972146,11.6418068005573
chi2,130.021088677479,316.054877428253
good_of_fit,0,0
