Parameters,trichostatina,decoquinate
EC50,0.00728133407237962,0.230375003004236
H,9.99999999999984,9.99999999999989
Ucinf,36.5909429401617,0
chi2,25445.4094886385,5915.66727674424
good_of_fit,0,0
