Parameters,panobinostatlbh589,amodiaquine
EC50,0.100294299705666,0.0630886708641342
H,10,1.670713641018
Ucinf,3.16682812306316,0
chi2,1677.33851881079,887.011390891584
good_of_fit,0,0
