Parameters,ml238,methyleneblue
EC50,0.0173904087584858,0.0103889668439493
H,9.99999999999997,2.75548103262764
Ucinf,26.9251637208077,20.4714720898338
chi2,28599.3428157894,3142.83011557748
good_of_fit,0,0
