Parameters,ml238,decoquinate
EC50,0.00385789863547789,0.00341704798301212
H,2.05678583686785,1.31613902432864
Ucinf,4.86568088133617,1.45991647825242
chi2,197.762651843614,130.981621247744
good_of_fit,0,0
